iter	MAE
0	0.149181159
1	0.1288284681
2	0.1156581177
3	0.1086468619
4	0.103239302
5	0.1000168538
6	0.09848357317
7	0.09694598623
8	0.09534838781
9	0.09391514179
10	0.09326126702
11	0.09261241959
