Indicators
"Arithmetic Error Asymmetry between Earth's hemispheres of sunlight<br>reaching the surface, owing to differences in atmospheric particle<br>concentration (at most 0.1 inter-hemispheric difference in Aerosol<br>Optical Depth)"
Rate of species extinctions per million species<br>years (at most 10 E/MSY)
"Human appropriation of net primary productivity,<br>billions of tonnes of carbon per year (at most 10% of 55.9 Gt C)"
"Production of hazardous chemicals, millions of tonnes<br>per year (at most 5% of the 1,200 Mt of total chemicals<br>produced in year 2000)"
"Atmospheric carbon dioxide concentration, parts per million<br>(at most 350 ppm CO2)"
"Human-induced radiative forcing at the top of the atmosphere,<br> Watt per square metre (at most 1 W m**(-2))"
Proportion of land area with human-induced disturbance of blue-water<br>flow deviating from Holocene variability (at most 10.2%)
Proportion of land area with root-zone soil moisture deviating from<br>Holocene variability (at most 11.1%)
Area of forested land as a proportion of forest-covered land before<br>human alteration (at least 75% of 64 million square kilometres)
"Nitrogen applied to land as fertilizer, millions of tonnes per year<br>(at most 62 Mt per year)"
"Phosphorus applied to land as fertilizer, millions of tonnes per year<br>(at most 6.2 Mt per year)"
Average saturation state of aragonite at the ocean surface<br>(at least 80% of pre-industrial saturation state of 3.44 Ωarag)
"Concentration of ozone in the stratosphere, Dobson units<br>(at most 5% decrease with respect to 1964-1980 value of 290 DU)"
