iter	Passed	Remaining
0	1	1956
1	5	2827
2	9	3131
3	12	3207
4	16	3258
5	19	3294
6	23	3313
7	29	3686
8	34	3764
9	40	4027
10	45	4050
11	49	4050
12	53	4054
13	58	4149
14	61	4066
15	65	4041
16	69	4005
17	74	4057
18	78	4057
19	81	4016
20	85	3973
21	90	4003
22	94	4032
23	98	4001
24	102	4011
25	107	4030
26	110	3996
27	115	4003
28	120	4037
29	127	4123
30	131	4108
31	136	4142
32	140	4123
33	146	4158
34	149	4131
35	154	4148
36	158	4129
37	162	4113
38	167	4129
39	172	4140
40	175	4114
41	179	4082
42	183	4085
43	187	4071
44	192	4086
45	196	4072
46	201	4083
47	204	4064
48	208	4055
49	212	4046
50	221	4120
51	225	4111
52	229	4093
53	233	4089
54	236	4068
55	239	4045
56	242	4019
57	246	4008
58	250	3998
59	253	3979
60	257	3956
61	260	3936
62	264	3934
63	267	3913
64	270	3893
65	273	3874
66	277	3861
67	281	3856
68	284	3836
69	287	3816
70	290	3800
71	293	3788
72	297	3776
73	300	3759
74	303	3745
75	306	3730
76	311	3730
77	314	3715
78	317	3702
79	321	3698
80	325	3689
81	331	3712
82	336	3715
83	343	3741
84	346	3732
85	350	3722
86	354	3716
87	359	3720
88	362	3714
89	366	3707
90	372	3720
91	378	3734
92	383	3739
93	390	3762
94	394	3762
95	401	3782
96	407	3795
97	411	3785
98	416	3792
99	425	3826
100	429	3823
101	435	3832
102	439	3826
103	442	3813
104	446	3802
105	449	3789
106	453	3781
107	456	3769
108	459	3757
109	465	3763
110	470	3768
111	474	3759
112	478	3759
113	484	3764
114	487	3755
115	491	3748
116	495	3736
117	498	3723
118	502	3723
119	506	3711
120	509	3700
121	512	3688
122	515	3678
123	519	3669
124	522	3656
125	525	3646
126	528	3634
127	532	3628
128	537	3631
129	541	3621
130	544	3609
131	547	3599
132	551	3593
133	555	3592
134	559	3581
135	562	3571
136	566	3570
137	570	3562
138	573	3552
139	576	3541
140	580	3537
141	584	3529
142	587	3519
143	590	3509
144	593	3499
145	598	3501
146	601	3491
147	605	3488
148	608	3477
149	612	3473
150	616	3463
151	619	3455
152	622	3446
153	625	3437
154	631	3440
155	634	3434
156	637	3424
157	640	3413
158	645	3412
159	648	3405
160	654	3411
161	658	3404
162	665	3417
163	669	3410
164	673	3406
165	677	3406
166	681	3399
167	685	3393
168	688	3386
169	694	3389
170	698	3387
171	702	3381
172	706	3377
173	711	3376
174	716	3378
175	720	3373
176	725	3373
177	729	3367
178	732	3359
179	735	3351
180	743	3364
181	747	3358
182	750	3351
183	754	3346
184	758	3342
185	761	3334
186	766	3332
187	771	3331
188	775	3326
189	781	3333
190	786	3330
191	789	3322
192	792	3314
193	796	3308
194	804	3321
195	811	3329
196	815	3324
197	820	3322
198	824	3317
199	828	3312
200	831	3306
201	837	3310
202	841	3305
203	845	3299
204	851	3300
205	855	3298
206	860	3296
207	864	3289
208	868	3287
209	872	3283
210	877	3279
211	881	3278
212	885	3273
213	888	3265
214	894	3267
215	901	3273
216	907	3274
217	911	3270
218	915	3264
219	918	3257
220	922	3253
221	926	3246
222	932	3247
223	935	3242
224	939	3236
225	942	3228
226	948	3228
227	951	3222
228	954	3214
229	957	3206
230	962	3202
231	965	3196
232	969	3191
233	972	3184
234	976	3179
235	979	3172
236	982	3164
237	987	3160
238	995	3168
239	1000	3169
240	1004	3164
241	1009	3161
242	1012	3153
243	1016	3149
244	1019	3142
245	1023	3135
246	1027	3131
247	1030	3124
248	1033	3116
249	1036	3109
250	1040	3105
251	1043	3097
252	1046	3090
253	1049	3083
254	1053	3076
255	1059	3079
256	1066	3083
257	1072	3083
258	1076	3079
259	1081	3079
260	1087	3077
261	1092	3076
262	1095	3069
263	1098	3063
264	1102	3057
265	1107	3055
266	1110	3048
267	1114	3042
268	1117	3036
269	1122	3034
270	1126	3029
271	1129	3023
272	1133	3018
273	1138	3015
274	1144	3018
275	1148	3011
276	1152	3008
277	1158	3009
278	1162	3003
279	1167	3001
280	1170	2995
281	1174	2989
282	1179	2987
283	1185	2988
284	1189	2983
285	1192	2976
286	1195	2970
287	1200	2968
288	1204	2962
289	1207	2957
290	1211	2952
291	1216	2949
292	1220	2945
293	1224	2940
294	1228	2936
295	1233	2933
296	1236	2926
297	1240	2921
298	1243	2914
299	1247	2911
300	1251	2906
301	1254	2900
302	1258	2894
303	1262	2889
304	1265	2883
305	1268	2877
306	1272	2872
307	1275	2866
308	1280	2863
309	1283	2856
310	1286	2850
311	1289	2843
312	1293	2838
313	1296	2832
314	1299	2826
315	1303	2820
316	1306	2814
317	1310	2810
318	1313	2805
319	1317	2800
320	1320	2794
321	1324	2789
322	1328	2784
323	1331	2778
324	1334	2772
325	1337	2766
326	1342	2763
327	1346	2757
328	1349	2752
329	1352	2746
330	1355	2740
331	1361	2740
332	1366	2737
333	1370	2732
334	1375	2731
335	1379	2725
336	1382	2719
337	1385	2713
338	1389	2709
339	1394	2706
340	1398	2702
341	1402	2698
342	1407	2695
343	1410	2689
344	1413	2683
345	1416	2676
346	1419	2671
347	1423	2667
348	1426	2661
349	1429	2655
350	1432	2649
351	1437	2645
352	1440	2639
353	1443	2633
354	1446	2627
355	1449	2621
356	1454	2618
357	1457	2612
358	1460	2606
359	1463	2602
360	1467	2596
361	1471	2594
362	1476	2591
363	1480	2586
364	1484	2582
365	1487	2577
366	1490	2571
367	1493	2565
368	1496	2559
369	1501	2556
370	1505	2551
371	1507	2545
372	1510	2539
373	1513	2533
374	1518	2531
375	1521	2525
376	1524	2519
377	1527	2513
378	1531	2508
379	1534	2504
380	1537	2498
381	1540	2492
382	1543	2487
383	1548	2483
384	1551	2478
385	1554	2473
386	1558	2468
387	1566	2470
388	1571	2468
389	1575	2464
390	1581	2463
391	1584	2458
392	1589	2454
393	1593	2450
394	1600	2451
395	1605	2449
396	1609	2444
397	1614	2441
398	1618	2438
399	1624	2436
400	1628	2433
401	1632	2428
402	1635	2423
403	1640	2419
404	1644	2416
405	1647	2410
406	1651	2405
407	1654	2401
408	1658	2396
409	1665	2396
410	1669	2392
411	1672	2387
412	1680	2388
413	1683	2383
414	1687	2378
415	1692	2375
416	1699	2376
417	1708	2378
418	1716	2380
419	1720	2375
420	1723	2370
421	1726	2364
422	1729	2359
423	1732	2354
424	1736	2349
425	1739	2343
426	1742	2338
427	1745	2332
428	1748	2327
429	1752	2322
430	1755	2317
431	1758	2311
432	1762	2308
433	1766	2303
434	1774	2304
435	1779	2301
436	1783	2297
437	1786	2292
438	1789	2287
439	1793	2282
440	1796	2277
441	1801	2274
442	1804	2269
443	1807	2263
444	1810	2258
445	1813	2253
446	1817	2248
447	1820	2243
448	1823	2238
449	1826	2232
450	1830	2228
451	1833	2223
452	1836	2218
453	1840	2213
454	1843	2208
455	1847	2204
456	1851	2199
457	1854	2194
458	1859	2191
459	1863	2188
460	1867	2183
461	1871	2178
462	1874	2173
463	1877	2168
464	1882	2165
465	1886	2161
466	1890	2157
467	1894	2153
468	1897	2148
469	1900	2143
470	1903	2138
471	1906	2132
472	1910	2128
473	1914	2124
474	1917	2118
475	1920	2113
476	1923	2108
477	1927	2105
478	1930	2100
479	1933	2095
480	1939	2092
481	1946	2092
482	1953	2090
483	1958	2088
484	1962	2084
485	1966	2080
486	1970	2075
487	1976	2074
488	1981	2070
489	1984	2065
490	1987	2060
491	1991	2056
492	1995	2052
493	1998	2046
494	2001	2041
495	2004	2037
496	2008	2032
497	2011	2027
498	2014	2022
499	2017	2017
500	2020	2012
501	2024	2008
502	2027	2003
503	2030	1998
504	2033	1993
505	2038	1989
506	2041	1984
507	2044	1980
508	2047	1975
509	2050	1970
510	2055	1966
511	2058	1961
512	2061	1956
513	2064	1952
514	2068	1947
515	2071	1943
516	2075	1938
517	2078	1933
518	2081	1929
519	2087	1926
520	2091	1922
521	2094	1917
522	2097	1913
523	2101	1909
524	2106	1906
525	2110	1901
526	2114	1897
527	2119	1894
528	2122	1890
529	2126	1885
530	2130	1881
531	2135	1878
532	2139	1874
533	2142	1870
534	2146	1865
535	2151	1862
536	2154	1857
537	2158	1853
538	2161	1848
539	2165	1845
540	2169	1840
541	2174	1837
542	2178	1833
543	2185	1831
544	2188	1827
545	2192	1822
546	2197	1819
547	2200	1814
548	2204	1810
549	2207	1806
550	2212	1802
551	2215	1798
552	2218	1793
553	2221	1788
554	2225	1784
555	2230	1781
556	2234	1776
557	2237	1772
558	2242	1768
559	2247	1765
560	2250	1761
561	2255	1757
562	2259	1753
563	2262	1749
564	2266	1744
565	2269	1740
566	2272	1735
567	2277	1731
568	2280	1727
569	2283	1722
570	2286	1717
571	2289	1713
572	2294	1709
573	2297	1705
574	2300	1700
575	2303	1695
576	2308	1692
577	2311	1687
578	2314	1683
579	2317	1678
580	2321	1674
581	2325	1669
582	2328	1665
583	2332	1661
584	2336	1657
585	2339	1653
586	2342	1648
587	2348	1645
588	2351	1640
589	2355	1637
590	2358	1632
591	2362	1628
592	2366	1623
593	2370	1620
594	2373	1615
595	2377	1611
596	2382	1608
597	2389	1605
598	2393	1602
599	2396	1597
600	2399	1592
601	2404	1589
602	2407	1585
603	2411	1580
604	2414	1576
605	2418	1572
606	2421	1567
607	2424	1563
608	2428	1558
609	2431	1554
610	2435	1550
611	2438	1546
612	2442	1541
613	2445	1537
614	2449	1533
615	2452	1528
616	2456	1524
617	2459	1520
618	2462	1515
619	2467	1512
620	2470	1507
621	2474	1503
622	2479	1500
623	2483	1496
624	2487	1492
625	2490	1487
626	2493	1483
627	2498	1479
628	2502	1476
629	2505	1471
630	2508	1466
631	2511	1462
632	2515	1458
633	2518	1454
634	2522	1449
635	2525	1445
636	2529	1441
637	2532	1436
638	2535	1432
639	2538	1427
640	2541	1423
641	2545	1419
642	2548	1415
643	2551	1410
644	2555	1406
645	2558	1401
646	2562	1398
647	2565	1393
648	2568	1389
649	2571	1384
650	2575	1380
651	2578	1376
652	2581	1371
653	2584	1367
654	2588	1363
655	2592	1359
656	2598	1356
657	2602	1352
658	2606	1348
659	2611	1345
660	2614	1340
661	2618	1336
662	2623	1333
663	2627	1329
664	2630	1324
665	2633	1320
666	2638	1317
667	2642	1313
668	2645	1308
669	2648	1304
670	2652	1300
671	2658	1297
672	2662	1293
673	2665	1289
674	2670	1285
675	2674	1282
676	2678	1277
677	2683	1274
678	2688	1271
679	2694	1267
680	2698	1263
681	2704	1261
682	2709	1257
683	2713	1253
684	2717	1249
685	2721	1245
686	2724	1241
687	2728	1237
688	2732	1233
689	2739	1230
690	2748	1229
691	2754	1225
692	2758	1221
693	2762	1218
694	2767	1214
695	2771	1210
696	2774	1206
697	2780	1202
698	2784	1198
699	2787	1194
700	2792	1191
701	2797	1187
702	2801	1183
703	2806	1179
704	2809	1175
705	2815	1172
706	2821	1169
