iter	MAE
0	0.3586937155
1	0.2589802299
2	0.1975769002
3	0.1639204576
4	0.1410267994
5	0.1287507561
6	0.1217162468
7	0.1175693808
8	0.1150699237
9	0.113589448
10	0.112473081
11	0.1114915719
12	0.1109056794
13	0.1101497744
14	0.1098323648
15	0.1096243548
16	0.1088777144
17	0.1084635133
18	0.1080528471
19	0.1076338033
20	0.1074068172
21	0.1068375944
22	0.1066652773
23	0.1064072838
24	0.1062299782
25	0.1060326049
26	0.1058315624
27	0.1056191141
28	0.1054279594
29	0.1052842815
30	0.1051898387
31	0.1051048878
32	0.1049369056
33	0.10486667
34	0.1044791348
35	0.1042263802
36	0.1039515208
37	0.103822685
38	0.1036964547
39	0.1036703373
40	0.1036164741
41	0.1034510924
42	0.1033042987
43	0.1030180877
44	0.1029311969
45	0.1026983118
46	0.1024869125
47	0.1024456286
48	0.1022746624
49	0.1020453396
50	0.1019954436
51	0.1019550034
52	0.1018640041
53	0.1016191157
54	0.1015021074
55	0.1013045405
56	0.1011422287
57	0.1009988713
58	0.1009179131
59	0.1008115707
60	0.1007309425
61	0.1006282751
62	0.1004547615
63	0.100447492
64	0.1002694524
65	0.1000623601
66	0.09994693713
67	0.0998845219
68	0.09985684227
69	0.09970663675
70	0.09954956106
71	0.09941136975
72	0.09930494072
73	0.09912843124
74	0.09888869202
75	0.09878148838
76	0.09876341131
77	0.09874335768
78	0.09873285747
79	0.09869507899
80	0.09857961349
81	0.09832665898
82	0.09831653772
83	0.09829266013
84	0.09820234648
85	0.09819417547
86	0.09795603987
87	0.09792634482
88	0.09785297716
89	0.09776756466
90	0.09773311048
91	0.09772274136
92	0.09771890103
93	0.09760373676
94	0.09751829325
95	0.09739294299
96	0.09734509421
97	0.0973387466
98	0.09729519538
99	0.09718866203
100	0.09716853349
101	0.09704583688
102	0.09698167109
103	0.09692412084
104	0.09685182989
105	0.09676537135
106	0.09668015968
107	0.09659903479
108	0.0964837947
109	0.09647192258
110	0.09645106462
111	0.09642847984
112	0.09636293983
113	0.09636127875
114	0.09634365492
115	0.09634235547
116	0.0962530593
117	0.09610171156
118	0.09609046172
119	0.09595136444
120	0.09594353762
121	0.09579049757
122	0.09568899535
123	0.09565704874
124	0.09560439451
125	0.09549381626
126	0.09548063117
127	0.095342936
128	0.09530068265
129	0.0952624476
130	0.09515931449
131	0.0950444611
132	0.09497687786
133	0.0949749304
134	0.09496788146
135	0.0949187756
