iter	MAE
0	0.3217278639
1	0.2134989926
2	0.1620097655
3	0.1404671155
4	0.1255711301
5	0.1184531427
6	0.115238597
7	0.1138596825
8	0.1124027601
9	0.1115995015
10	0.1109121415
11	0.1099407062
12	0.1094744056
13	0.1090714038
14	0.1084976383
15	0.1081256733
16	0.1075678222
17	0.1072133603
18	0.1066275949
19	0.1063202816
20	0.1059925519
21	0.1057907519
22	0.1054074015
23	0.1051006492
24	0.1049970204
25	0.1046465568
26	0.1043226818
27	0.1041153418
28	0.1039369716
29	0.1038256346
30	0.103539999
31	0.1033380876
32	0.1032435236
33	0.1028304458
34	0.1025131539
35	0.1024261621
36	0.1023910239
37	0.1022155481
38	0.102059699
39	0.1019982713
40	0.1019796776
41	0.1019747942
42	0.1017277859
43	0.1015934007
44	0.1013496166
45	0.101313746
46	0.1012018668
47	0.1011478835
48	0.100951381
49	0.1008774583
50	0.1008193971
51	0.1006827231
52	0.1005396324
53	0.1004972326
54	0.1004524597
55	0.1003503331
56	0.1001886142
57	0.1000913988
58	0.09995557586
59	0.09983708456
60	0.09982799607
61	0.09969867129
62	0.09955556804
63	0.09945973106
64	0.09937980894
65	0.09925790335
66	0.09920497191
67	0.09915180848
68	0.09900131986
69	0.09874330315
70	0.09862247593
71	0.09853709154
72	0.09847890718
73	0.09839294651
74	0.09836547957
75	0.098296877
76	0.0981715645
77	0.09812634977
78	0.09806671557
79	0.09804490953
80	0.09792712009
81	0.0976264871
82	0.09756685927
83	0.09735313873
84	0.09722865736
85	0.09716475453
86	0.09707066546
87	0.09705947412
88	0.09692548955
89	0.09690241254
90	0.09680682138
91	0.09674190577
92	0.09669393991
93	0.09664375694
94	0.0965245435
95	0.09642780215
96	0.09625698149
97	0.09625272254
98	0.09619435784
99	0.09615796094
100	0.09609275228
101	0.09595948987
102	0.09582673764
103	0.095689215
104	0.09567768587
105	0.09563452242
106	0.0955951733
107	0.0955524006
108	0.09550695828
109	0.09543899036
110	0.0953731831
111	0.0952887837
112	0.09522982664
113	0.09510934076
114	0.0950190833
115	0.0949318424
116	0.0948437932
117	0.09476906025
118	0.09472984438
119	0.09470308971
120	0.09466238379
121	0.09456264208
122	0.09450837938
123	0.09445529333
124	0.09442756816
125	0.09437193195
126	0.09428627035
127	0.0942181086
128	0.09411217554
129	0.09405168761
130	0.09387680288
131	0.09383702569
132	0.09381360301
133	0.09380058751
134	0.09377128692
135	0.09365102546
136	0.09355842127
137	0.09349905919
138	0.09348027106
139	0.0933713
140	0.09335529106
141	0.09332388719
142	0.09323928096
143	0.09320341005
144	0.09320132979
145	0.09317854848
146	0.09304103694
147	0.09302416578
148	0.0929362248
149	0.09291275142
150	0.09285989303
151	0.09283315595
152	0.09273267706
153	0.09270743693
154	0.09269605609
155	0.09254462899
156	0.09249035578
157	0.09247066129
158	0.0923842979
159	0.09230722215
160	0.09221319009
161	0.09220297515
162	0.09212652158
163	0.09212511894
164	0.09207683507
165	0.09206503428
166	0.09206148026
167	0.09205965639
168	0.09199852727
169	0.09195966842
170	0.09191874159
171	0.09186096481
172	0.09184818
173	0.09182933949
174	0.09182698028
175	0.09179770513
176	0.09179373665
177	0.09179297919
178	0.0917517422
179	0.09166324309
180	0.09165728508
181	0.09164457504
182	0.09157426263
183	0.09155465082
184	0.09149839819
185	0.09149696261
186	0.09148029831
187	0.09142560056
188	0.09141129737
189	0.09134757597
190	0.09134522628
191	0.09133200938
192	0.09129980822
193	0.09122719479
194	0.09121194156
195	0.09118491884
196	0.091144299
197	0.09114066617
198	0.09111815794
199	0.09109594986
200	0.09109208979
201	0.09107696133
202	0.09102565415
203	0.09094655162
204	0.09092810583
205	0.09088344067
206	0.0908419704
207	0.09078442477
208	0.09073147626
209	0.09068197909
210	0.09063252615
211	0.09062763455
212	0.09062533044
213	0.09060074259
214	0.09056441407
215	0.09052916453
216	0.09046117277
217	0.09040027
218	0.09035107627
219	0.09030169308
