iter	Passed	Remaining
0	1	1820
1	5	2621
2	8	2770
3	11	2819
4	14	2923
5	17	2954
6	21	3014
7	23	2931
8	27	2991
9	31	3105
10	35	3181
11	39	3251
12	43	3268
13	47	3346
14	51	3367
15	57	3509
16	60	3507
17	65	3562
18	69	3599
19	73	3601
20	79	3701
21	82	3685
22	86	3680
23	89	3651
24	96	3748
25	102	3830
26	107	3865
27	115	3994
28	121	4070
29	125	4050
30	130	4080
31	135	4089
32	139	4091
33	144	4094
34	148	4107
35	152	4079
36	155	4044
37	160	4066
38	164	4050
39	168	4036
40	171	4005
41	178	4060
42	181	4041
43	184	4012
44	191	4054
45	196	4073
46	200	4055
47	203	4030
48	208	4039
49	212	4028
50	215	4003
51	218	3985
52	223	3995
53	226	3970
54	229	3947
55	234	3945
56	239	3959
57	243	3954
58	247	3945
59	252	3950
60	255	3938
61	259	3920
62	262	3902
63	265	3883
64	270	3892
65	273	3875
66	276	3855
67	279	3836
68	283	3823
69	288	3830
70	293	3835
71	296	3816
72	300	3811
73	303	3803
74	308	3808
75	315	3841
76	322	3869
77	326	3856
78	329	3842
79	334	3849
80	338	3844
81	343	3840
82	346	3826
83	351	3830
84	355	3827
85	358	3812
86	364	3829
87	368	3823
88	372	3812
89	375	3799
90	384	3838
91	388	3836
92	392	3827
93	396	3823
94	400	3813
95	403	3801
96	407	3789
97	410	3774
98	413	3763
99	416	3751
100	420	3746
101	425	3743
102	430	3749
103	435	3752
104	441	3762
105	445	3757
106	448	3743
107	451	3729
108	454	3717
109	458	3706
110	462	3700
111	465	3689
112	468	3676
113	471	3664
114	476	3669
115	481	3670
116	485	3660
117	489	3655
118	497	3681
119	500	3670
120	504	3663
121	509	3668
122	515	3672
123	518	3666
124	523	3664
125	527	3655
126	530	3646
127	534	3638
128	538	3637
129	542	3631
130	546	3627
131	550	3619
132	555	3621
133	560	3620
134	563	3613
135	569	3616
136	574	3615
137	577	3609
138	581	3600
139	585	3596
140	589	3589
141	593	3584
142	596	3574
143	599	3564
144	607	3583
145	611	3579
146	616	3576
147	621	3577
148	624	3567
149	628	3563
150	632	3559
151	637	3554
152	641	3553
153	646	3552
154	652	3554
155	656	3551
156	660	3545
157	663	3535
158	667	3531
159	671	3523
160	674	3515
161	677	3505
162	681	3497
163	684	3488
164	688	3482
165	691	3474
166	695	3466
167	702	3477
168	706	3471
169	710	3470
170	715	3469
171	719	3462
172	722	3454
173	726	3448
174	730	3445
175	735	3441
176	740	3441
177	743	3433
178	748	3432
179	752	3428
180	756	3423
181	761	3422
182	765	3416
183	769	3412
184	773	3407
185	779	3410
186	783	3407
187	787	3400
188	790	3391
189	794	3387
190	797	3377
191	800	3368
192	803	3359
193	806	3351
194	810	3345
195	816	3351
196	821	3347
197	826	3347
198	830	3342
199	833	3333
200	836	3324
201	840	3321
202	844	3317
203	849	3313
204	852	3305
205	857	3305
206	860	3296
207	863	3289
208	867	3281
209	870	3273
210	874	3269
211	877	3261
212	880	3253
213	883	3244
214	886	3238
215	890	3231
216	894	3225
217	897	3218
218	900	3210
219	904	3208
220	910	3208
221	913	3201
222	916	3193
223	920	3189
224	924	3185
225	928	3180
226	932	3175
227	937	3173
228	940	3166
229	943	3160
230	946	3152
231	950	3145
232	954	3140
233	957	3133
234	960	3125
235	963	3117
236	966	3112
237	969	3104
238	973	3099
239	978	3097
240	982	3095
241	987	3093
242	991	3088
243	994	3082
244	999	3080
245	1002	3074
246	1006	3069
247	1010	3062
248	1014	3059
249	1020	3062
250	1025	3058
251	1029	3054
252	1033	3050
253	1036	3044
254	1039	3037
255	1043	3031
256	1048	3030
257	1053	3030
258	1058	3028
259	1063	3026
260	1066	3020
261	1071	3016
262	1074	3011
263	1079	3008
264	1083	3005
265	1087	3000
266	1090	2994
267	1094	2990
268	1099	2988
269	1103	2984
270	1108	2981
271	1116	2987
272	1120	2984
273	1126	2984
274	1129	2978
275	1133	2972
276	1136	2965
277	1139	2958
278	1142	2953
279	1146	2947
280	1149	2940
281	1152	2933
282	1155	2927
283	1159	2923
284	1162	2917
285	1166	2911
286	1171	2911
287	1175	2905
288	1178	2899
289	1183	2897
290	1186	2891
291	1191	2888
292	1196	2886
293	1199	2880
294	1206	2883
295	1210	2878
296	1213	2872
297	1217	2867
298	1224	2870
299	1227	2864
300	1230	2858
301	1234	2852
302	1239	2850
303	1242	2844
304	1246	2840
305	1249	2833
306	1254	2831
307	1258	2827
308	1264	2828
309	1271	2830
310	1276	2826
311	1280	2823
312	1285	2821
313	1288	2815
314	1291	2809
315	1295	2804
316	1299	2799
317	1303	2795
